ID,Cusip,Ticker from BQNT,Name,Pricing Date,Maturity Date,First call date,Redeemable,First Put  Date,Issue Size ($mm),Conversion Premium,Coupon,Conversion Price (at issue),Conversion Ratio (at issue),Conversion Price (adjusted),Conversion Ratio (adjusted),Split,Multiplier,Upper Strike (adjusted),Derivative,Type,Upper Strike,Effective Premium,Derivative Cost,Cost in Bond Points,VWAP Period,Net Proceeds,Date of Transaction,Maturity/Put,Term,Unadjusted Share price at issue,Adjusted Stock price at issue,Adjusted Stock price at maturity,CAGR (Adj),CAGR (unadj),Stock Price,Conversion Price
1,79466LAB0 Corp,CRM,CRM 0 3/4 01/15/15,1/12/2010,1/19/2015,-,No,-,575,0.249963391,0.0075,85.36283473,11.7147,85.3628,11.7147,Yes,0.249991698,29.87650783,Yes,Tax-Integrated,119.51,0.750036609,67.3,0.117043478,80,507.7,1/19/2015,Maturity,5,68.29,17.0725,56.64,0.269877145,0.010809134,72.0765,21.34
2,529043AA9 Corp,LXP,LXP 6 01/15/30,1/20/2010,1/15/2030,1/15/2017,Call,1/15/2017,115,0.174999835,0.06,7.090000153,141.1383,6.2887,159.0145,Yes,0.886989325,,No,,,,,,,115,1/15/2017,Put,7,6.03,6.03,10.81,0.087145023,0.087145023,10.81,6.288754449
3,035710AA0 Corp,NLY,NLY 4 02/15/15,2/8/2010,2/15/2015,2/12/2010,Soft Call,-,600,0.2,0.04,21.45599937,46.607,11.2691,88.7384,Yes,0.525218069,,No,,,,,,,600,2/15/2015,Maturity,5,17.88,71.52,42.76,-0.09740045,-0.09740045,10.69,11.26907855
4,126349AC3 Corp,CSGS,CSGS 3 03/01/17,2/24/2010,3/1/2017,-,No,-,150,0.25,0.03,24.44999695,40.8998,22.5386,44.3684,Yes,0.921822752,,No,,,,,,,150,3/1/2017,Maturity,7,19.56,19.56,39.41,0.104948705,0.104948705,39.41,22.53856348
5,741503AM8 Corp,BKNG,BKNG 1 1/4 03/15/15,3/4/2010,3/15/2015,-,No,-,575,0.300017159,0.015,303.0578537,3.2997,303.0579,3.2997,No,,,No,,,,,,,575,3/15/2015,Maturity,5,233.12,233.12,1157.77,0.375190932,0.375190932,1157.77,303.0578537
6,171779AF8 Corp,CIEN,CIEN 4 03/15/15,3/8/2010,3/15/2015,3/15/2013,Soft Call,-,375,0.349668874,0.04,20.38499094,49.0557,20.385,49.0557,No,,,No,,,,,,,375,3/15/2015,Maturity,5,15.1,15.1,20.64,0.064244436,0.064244436,20.64,20.38499094
7,42217KAR7 Corp,WELL,WELL 3 12/01/29,3/9/2010,12/1/2029,12/1/2014,Call,12/1/2014,494.403,0.17510887,0.03,51.27000046,19.5064,50.0974,19.9611,Yes,0.980953031,,No,,,,,,,494.403,12/1/2014,Put,4.5,43.63,43.63,73.66,0.11714242,0.11714242,73.66,50.29346235
8,398905AF6 Corp,GPI,GPI 3 03/15/20,3/16/2010,3/15/2015,-,No,-,115,0.224936548,0.03,38.61000061,25.8987,37.0471,26.9927,Yes,0.959519629,54.43930567,Yes,Tax-Integrated,56.736,0.8,14.46,0.12573913,74,100.54,3/15/2015,Maturity,5,31.52,31.52,80.05,0.205036011,0.210130995,81.7557,37.04705346
9,483007AA8 Corp,KALU,KALU 4 1/2 04/01/15,3/23/2010,4/1/2015,-,No,-,175,0.259973924,0.045,48.31999969,20.6949,47.6954,20.9664,No,,61.36,Yes,Tax-Integrated,61.36,0.6,17.1,0.097714286,120,157.9,4/1/2015,Maturity,5,38.35,38.35,76.89,0.148559635,0.166934968,83.27,47.6953602
10,552953BR1 Corp,MGM,MGM 4 1/4 04/15/15,4/15/2010,4/15/2015,-,No,-,1450,0.275223061,0.0425,18.5767601,53.8307,18.5768,53.8307,No,,21.86,Yes,Capped Call,21.86,0.500343171,81,0.055862069,30,1369,4/15/2015,Maturity,5,14.57,14.57,21.76,0.083527324,0.080234733,21.431385,18.5767601
11,552848AD5 Corp,MTG,MTG 5 05/01/17,4/21/2010,5/1/2017,-,No,-,345,0.250232558,0.05,13.43750084,74.4186,13.4375,74.4186,No,,,No,,,,,,,345,5/1/2017,Maturity,7,11.25,11.25,10.54,-0.00923324,-0.00923324,10.54,13.43750084
12,526057BC7 Corp,LEN,LEN 2 12/01/20,4/26/2010,12/1/2020,12/1/2013,Call,12/1/2013,276.5,0.375124378,0.02,27.63751738,36.1827,27.6375,36.1827,No,,,No,,,,,,,276.5,12/1/2013,Put,3.5,20.1,19.2799,34.301,0.173692218,0.173691804,35.76,27.63751738
13,69073TAQ6 Corp,OI,OI 3 06/01/15,5/3/2010,6/1/2015,-,No,-,690,0.399882041,0.03,47.47391308,21.0642,47.4739,21.0642,No,,,No,,,,,,,690,6/1/2015,Maturity,5,33.91,33.91,23.9,-0.066574947,-0.066574947,23.9,47.47391308
14,594918AE4 Corp,MSFT,MSFT 0 06/15/13,6/8/2010,6/15/2013,-,No,-,1250,0.330147352,0,33.40000153,29.9434,32.5947,30.6798,No,,,No,,,,,,,1250,6/15/2013,Maturity,3,25.11,25.11,34.4,0.109882781,0.109882781,34.4,32.5947366
15,127387AG3 Corp,CDNS,CDNS 2 5/8 06/01/15,6/9/2010,6/1/2015,-,No,-,350,0.225649351,0.02625,7.546002317,132.5205,7.546,132.5205,No,,,No,,,,,,,350,6/1/2015,Maturity,5,6.16,6.16,19.79,0.264228494,0.264228494,19.79,7.546030788
16,36869MAA3 Corp,GNK,GSKNF 5 08/15/15,7/21/2010,8/15/2015,-,No,-,125,0.225,0.05,19.59999929,51.0204,19.6,51.0204,No,,,No,,,,,,,125,8/15/2015,Maturity,5,15.99999942,15.99999942,69.4,0.335890787,-0.151986954,6.94,19.60000314
17,375558AM5 Corp,GILD,GILD 1 5/8 05/01/16,7/26/2010,5/1/2016,-,No,-,1250,0.35998802,0.01625,45.40999985,22.0214,22.33,44.7828,Yes,0.491741946,29.55467444,Yes,Tax-Integrated,60.102,0.8,89.65,0.07172,80,1160.35,5/1/2016,Maturity,6,33.39,16.695,88.21,0.334824725,0.157086925,77.4196,22.3300017
